Track_id, Transition_type_no, Transition_type_name, Time_in_channel_(frame), Time_entered_channel_(frame), Time_left_channel_(frame), 
5553, 1, FR, 4.0, 6190.0, 6194.0, 
5553, 1, FR, 18.0, 6164.0, 6182.0, 
5553, 1, FR, 26.0, 6132.0, 6158.0, 
5554, 2, FT, 1637.0, 13779.0, 15416.0, 
5554, 1, FR, 10.0, 13759.0, 13769.0, 
5555, 1, FR, 92.0, 14486.0, 14578.0, 
5555, 1, FR, 19.0, 14459.0, 14478.0, 
5555, 1, FR, 87.0, 14361.0, 14448.0, 
5555, 1, FR, 2.0, 14354.0, 14356.0, 
5556, 2, FT, 2028.0, 15093.0, 17121.0, 
5557, -2, BT, 4704.0, 2347.0, 7051.0, 
5558, -1, BR, 1658.0, 3483.0, 5141.0, 
5559, 1, FR, 13.0, 20136.0, 20149.0, 
5559, 1, FR, 16.0, 20117.0, 20133.0, 
5559, 1, FR, 13.0, 20097.0, 20110.0, 
5560, -1, BR, 26.0, 16463.0, 16489.0, 
5560, -1, BR, 4.0, 16457.0, 16461.0, 
5560, 2, FT, 2931.0, 13523.0, 16454.0, 
5560, -2, BT, 564.0, 12951.0, 13515.0, 
5561, -1, BR, 4.0, 11012.0, 11016.0, 
5561, 2, FT, 3596.0, 7414.0, 11010.0, 
5561, 1, FR, 5.0, 7388.0, 7393.0, 
5562, 1, FR, 55.0, 11510.0, 11565.0, 
5562, 1, FR, 17.0, 11489.0, 11506.0, 
